samples,MAG,relative_abun,treatment,day,sample,fraction,MAG_taxa_combined,density,qpcr_ratio,rel_abun_qpcr_norm
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_110,7.444143927951545e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_Phycisphaeraceae,1.69034136,0.113818084,8.120298002174362e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_111,1.1069323777837905e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JAJRTO01 (NCBI: P_Candidatus Poribacteria),1.69034136,0.113818084,1.2074754146153763e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_112,1.0821798198051734e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_UBA2329 (NCBI: F_Saprospiraceae),1.69034136,0.113818084,1.1804745735451559e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_113,2.9588053506584174e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAGOFO01 (NCBI: P_Myxococcota),1.69034136,0.113818084,3.2275546268737795e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_114,1.2574663543340723e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_4572-78 (NCBI: P_Chloroflexi),1.69034136,0.113818084,1.3716824424309964e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_12,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,S_Casp-actino5 sp017859785 (NCBI: F_Ilumatobacteraceae),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_13,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JAFGLY01 (NCBI: C_Deltaproteobacteria),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_14,1.8254840076223645e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAIPFM01 (NCBI: C_Phycisphaerae),1.69034136,0.113818084,1.9912933284964318e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_15,0.00010068588689718646,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAHISY01 (NCBI: D_Bacteria),1.69034136,0.113818084,1.098312195642033e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_16,3.728288054141522e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAJFUI01 (NCBI: F_Planctomycetaceae),1.69034136,0.113818084,4.066929700794603e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_17,3.0363387297213684e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_M30B53 (NCBI: O_Pirellulales),1.69034136,0.113818084,3.312130388600079e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_18,3.8915828775352014e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Pontiella (NCBI: O_Kiritimatiellales),1.69034136,0.113818084,4.245056647425792e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_19,0.010066705312218897,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_B137-G9 (NCBI: P_Candidatus Cloacimonetes),1.69034136,0.113818084,0.001098106751111452
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_2,2.2372955877000137e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_Victivallaceae (NCBI: O_Victivallales),1.69034136,0.113818084,2.4405098916556295e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_20,1.7598526623098775e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_GCF-002020875 (NCBI: C_Gammaproteobacteria),1.69034136,0.113818084,1.919700666213281e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_21,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_CAITUV01 (NCBI: O_Myxococcales),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_22,9.06094576004963e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JADHUC01 (NCBI: F_Pirellulaceae),1.69034136,0.113818084,9.883954483586684e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_24,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JABMPJ01 (NCBI: D_Bacteria),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_25,5.415484839482501e-08,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JAAYKL01 (NCBI: C_Deltaproteobacteria),1.69034136,0.113818084,5.907375132516586e-09
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_26,6.172322831306684e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_QWPN01 (NCBI: G_Candidatus Kuenenia),1.69034136,0.113818084,6.732956971403833e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_28,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_UBA8416 (NCBI: P_Lentisphaerae),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_3,1.8042354076435867e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,C_UBA1439 (NCBI: D_Bacteria),1.69034136,0.113818084,1.9681147110990982e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_30,1.168382887482779e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,S_Synechococcus_C sp004332415 (NCBI: G_Synechococcus),1.69034136,0.113818084,1.2745074945927186e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_31,2.876746184228614e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JABICL01 (NCBI: C_Candidatus Peribacteria),1.69034136,0.113818084,3.138041999005582e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_32,6.6147376537476e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_LZORAL124-64-63 (NCBI: P_Candidatus Krumholzibacteriota),1.69034136,0.113818084,7.215556479630683e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_33,3.723259785845901e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_GWB1-54-5 (NCBI: P_Candidatus Peregrinibacteria),1.69034136,0.113818084,4.0614447132136925e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_34,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAFGQA01 (NCBI: C_Phycisphaerae),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_35,2.9333742926876036e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Desulforhopalus,1.69034136,0.113818084,3.1998136574309164e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_36,9.288618023526815e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_M50B91 (NCBI: P_Candidatus Gracilibacteria),1.69034136,0.113818084,1.0132306294642148e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_37,9.57770830871004e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Desulfacyla (NCBI: C_Deltaproteobacteria),1.69034136,0.113818084,1.0447654746786776e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_38,1.8972344656102074e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,S_Marivita sp017643905 (NCBI: G_Marivita),1.69034136,0.113818084,2.069560904498835e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_39,3.987973757906349e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_UA16 (NCBI: O_Flavobacteriales),1.69034136,0.113818084,4.350202743589605e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_4,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Roseibacillus_B (NCBI: F_Akkermansiaceae),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_40,0.0001914099825195159,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Sabulitectum (NCBI: G_Candidatus Sabulitectum),1.69034136,0.113818084,2.08795815031637e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_41,4.634937454373743e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAGRPD01 (NCBI: O_Verrucomicrobiales),1.69034136,0.113818084,5.0559303682500235e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_42,2.2486289611057598e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_J111 (NCBI: P_Chloroflexi),1.69034136,0.113818084,2.4528726791454063e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_43,5.843283375573964e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JAFGTH01 (NCBI: P_Lentisphaerae),1.69034136,0.113818084,6.37403075223303e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_44,1.2551777842462245e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAFGTN01 (NCBI: O_Pirellulales),1.69034136,0.113818084,1.3691860007592538e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_45,1.2254669412946292e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,S_Pontimonas sp017852615 (NCBI: F_Microbacteriaceae),1.69034136,0.113818084,1.3367765120392868e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_46,4.5768060570137285e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Mxb001 (NCBI: O_Candidatus Nanopelagicales),1.69034136,0.113818084,4.992518876691715e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_48,1.6216304145946647e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_Desulfobacterales,1.69034136,0.113818084,1.7689236456665067e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_49,9.664086794428208e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Aquiluna,1.69034136,0.113818084,1.0541879019153996e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_5,2.3163273638435147e-08,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_CAITUV01 (NCBI: O_Myxococcales),1.69034136,0.113818084,2.5267201503687437e-09
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_50,4.9534353289756015e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_SZUA-421 (NCBI: D_Bacteria),1.69034136,0.113818084,5.4033575109621795e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_51,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_SM23-33 (NCBI: F_Planctomycetaceae),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_52,5.72604837799287e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_TMED14 (NCBI: F_Cryomorphaceae),1.69034136,0.113818084,6.246147260745427e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_56,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Synechococcus_C (NCBI: G_Synechococcus),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_57,0.0002030559110189873,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_Alkalispirochaetaceae (NCBI: F_Spirochaetaceae),1.69034136,0.113818084,2.214995470984814e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_58,2.4585431233926463e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_RFXV01 (NCBI: C_Flavobacteriia),1.69034136,0.113818084,2.6818534147604097e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_59,0.0010679411228650597,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_1-14-0-20-35-14 (NCBI: P_Candidatus Liptonbacteria),1.69034136,0.113818084,0.00011649425710159961
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_6,2.5146684079211116e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_S36-B12 (NCBI: O_Candidatus Nanopelagicales),1.69034136,0.113818084,2.743076577590011e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_60,1.3513520280794254e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_LZORAL124-64-63 (NCBI: P_Candidatus Krumholzibacteriota),1.69034136,0.113818084,1.4740957832161703e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_61,0.002041971687544393,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_S5133MH16 (NCBI: C_Deltaproteobacteria),1.69034136,0.113818084,0.00022274446565444315
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_63,1.9329607324669637e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_Thermoguttaceae (NCBI: F_Planctomycetaceae),1.69034136,0.113818084,2.1085322000823015e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_65,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JABGQJ01 (NCBI: O_Victivallales),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_68,2.133385434531023e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_UBA1407 (NCBI: P_Lentisphaerae),1.69034136,0.113818084,2.3271615446394563e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_69,3.924286958122811e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_UBA8349 (NCBI: P_Candidatus Sumerlaeota),1.69034136,0.113818084,4.280731250553944e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_7,1.8081355963479629e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_CAIRTM01 (NCBI: C_Deltaproteobacteria),1.69034136,0.113818084,1.9723691552434854e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_70,1.4033655606698675e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAFGNH01 (NCBI: O_Anaerolineales),1.69034136,0.113818084,1.530833722308708e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_71,6.948684837785115e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAJRTN01 (NCBI: P_Candidatus Hydrogenedentes),1.69034136,0.113818084,7.579836197704026e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_73,0.0002458670874755298,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_SpSt-1165 (NCBI: C_Anaerolineae),1.69034136,0.113818084,2.6819927698219122e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_74,9.916638999102092e-08,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,S_JAIPIO01 sp021734595 (NCBI: O_Kiritimatiellales),1.69034136,0.113818084,1.081737062475792e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_75,1.2552887394755313e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_UBA8416 (NCBI: C_Kiritimatiellae),1.69034136,0.113818084,1.3693070340890216e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_76,4.579205265301859e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_UBA8416 (NCBI: D_Bacteria),1.69034136,0.113818084,4.995136005868348e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_77,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JAAYKL01 (NCBI: P_Proteobacteria),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_78,5.103149507324116e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_UBA4473 (NCBI: P_Candidatus Gracilibacteria),1.69034136,0.113818084,5.566670278032113e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_79,2.9507546684346843e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Synechococcus_C (NCBI: G_Synechococcus),1.69034136,0.113818084,3.218772698500249e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_80,6.207290425048798e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_JAIOPI01 (NCBI: P_Lentisphaerae),1.69034136,0.113818084,6.771100683340776e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_83,1.416000487123639e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Prosthecochloris,1.69034136,0.113818084,1.5446162833436894e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_84,4.7369880100782905e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Desulfocicer,1.69034136,0.113818084,5.167250209944225e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_85,1.8102115044529435e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Desulfobacula (NCBI: F_Desulfobacteraceae),1.69034136,0.113818084,1.9746336187735735e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_86,1.7610049032335022e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_RZZM01 (NCBI: C_Spartobacteria),1.69034136,0.113818084,1.9209575655640575e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_87,7.978728572582458e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_SPBW01 (NCBI: P_Candidatus Bipolaricaulota),1.69034136,0.113818084,8.703439148262335e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_88,3.196599098367184e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_JAHOYW01 (NCBI: O_Victivallales),1.69034136,0.113818084,3.4869472599472247e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_89,4.799620294465818e-06,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_UBA6053 (NCBI: C_Kiritimatiellae),1.69034136,0.113818084,5.235571405598969e-07
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_9,9.09166522475016e-08,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_SM23-33 (NCBI: F_Planctomycetaceae),1.69034136,0.113818084,9.917464207505231e-09
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_91,1.5209007809135564e-05,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_AB16 (NCBI: P_Candidatus Marinimicrobia),1.69034136,0.113818084,1.6590447057834165e-06
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_92,5.568683253433933e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Tichowtungia (NCBI: O_Kiritimatiellales),1.69034136,0.113818084,6.0744886094706e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_93,9.020041772124901e-08,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_HyVt-337 (NCBI: C_Phycisphaerae),1.69034136,0.113818084,9.839335172804828e-09
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_95,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_LZORAL124-64-63 (NCBI: D_Bacteria),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_97,0.0,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_JABSQK01 (NCBI: C_Lentisphaeria),1.69034136,0.113818084,0.0
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_98,2.4975475355923556e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Tichowtungia (NCBI: P_Verrucomicrobia),1.69034136,0.113818084,2.7244006107209858e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day0-DO-0-env-cell-control_bin_99,3.423452769304529e-07,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_M55B157 (NCBI: C_Actinomycetia),1.69034136,0.113818084,3.7344061254296056e-08
DAY7_DO_0_12C_CELL_ENRICHED_10,day7-DO-0-12C-cell-enriched_bin_13,0.0005849010235123716,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_GW2011-AR1 (NCBI: D_Archaea),1.69034136,0.113818084,6.380277784344534e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day7-DO-0-12C-cell-enriched_bin_14,0.0007194097322027695,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_UBA6244 (NCBI: O_Bacteroidales),1.69034136,0.113818084,7.847539579690092e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day7-DO-0-12C-cell-enriched_bin_15,0.002316192094249418,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_GWF2-38-69 (NCBI: C_Lentisphaeria),1.69034136,0.113818084,0.00025265725941923283
DAY7_DO_0_12C_CELL_ENRICHED_10,day7-DO-0-12C-cell-enriched_bin_16,0.0002031533009435116,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,G_Luteolibacter (NCBI: F_Akkermansiaceae),1.69034136,0.113818084,2.216057829823118e-05
DAY7_DO_0_12C_CELL_ENRICHED_10,day7-DO-0-12C-cell-enriched_bin_18,0.010379162955226576,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,F_UBA5603 (NCBI: P_Tenericutes),1.69034136,0.113818084,0.0011321905785983497
DAY7_DO_0_12C_CELL_ENRICHED_10,day7-DO-0-12C-cell-enriched_bin_19,0.0010111731079038167,12C,DAY7,DAY7_DO_0_12C_CELL_ENRICHED,10,O_BM507 (NCBI: P_Candidatus Falkowbacteria),1.69034136,0.113818084,0.00011030182983341763
